sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
TA.OE007_A549_96H:BRDN0000465016:-666	BRDN0000465016	BRDN0000465016	MYC	trt_oe	A549		96 h	1	0.53
TA.OE007_A549_96H:CCSBBROAD304_00282:-666	CCSBBROAD304_00282	CCSBBROAD304_00282	CDKN1A	trt_oe	A549		96 h	1	0.71
TA.OE007_A549_96H:CCSBBROAD304_05880:-666	CCSBBROAD304_05880	CCSBBROAD304_05880	CCND1	trt_oe	A549		96 h	1	0.33
TA.OE012_A549_96H:BRDN0000553488:-666	BRDN0000553488	BRDN0000553488	NRAS	trt_oe	A549		96 h	1	0.56
TA.OE012_A549_96H:BRDN0000553495:-666	BRDN0000553495	BRDN0000553495	MYC	trt_oe	A549		96 h	1	0.81
TA.OE012_A549_96H:BRDN0000553554:-666	BRDN0000553554	BRDN0000553554	MYC	trt_oe	A549		96 h	1	0.76
TA.OE012_A549_96H:BRDN0000560406:-666	BRDN0000560406	BRDN0000560406	CCND1	trt_oe	A549		96 h	1	0.37
TA.OE012_A549_96H:BRDN0000561575:-666	BRDN0000561575	BRDN0000561575	NRAS	trt_oe	A549		96 h	1	0.53
TA.OE012_A549_96H:BRDN0000561657:-666	BRDN0000561657	BRDN0000561657	PTEN	trt_oe	A549		96 h	1	0.61
TA.OE012_A549_96H:BRDN0000561664:-666	BRDN0000561664	BRDN0000561664	TP53	trt_oe	A549		96 h	1	0.44
TA.OE013_A549_96H:BRDN0000552465:-666	BRDN0000552465	BRDN0000552465	TP53	trt_oe	A549		96 h	1	0.45
TA.OE013_A549_96H:BRDN0000552927:-666	BRDN0000552927	BRDN0000552927	IDH2	trt_oe	A549		96 h	1	0.29
TA.OE013_A549_96H:BRDN0000553386:-666	BRDN0000553386	BRDN0000553386	RB1	trt_oe	A549		96 h	1	0.33
TA.OE013_A549_96H:BRDN0000554032:-666	BRDN0000554032	BRDN0000554032	RB1	trt_oe	A549		96 h	1	0.2
TA.OE013_A549_96H:BRDN0000560362:-666	BRDN0000560362	BRDN0000560362	IDH2	trt_oe	A549		96 h	1	0.32
TA.OE014_A549_96H:BRDN0000553488:-666	BRDN0000553488	BRDN0000553488	NRAS	trt_oe	A549		96 h	1	0.4909
